"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789305","1.4.1.18.6","59.9","","","","1"
"2019","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789305","1.4.1.18.6","","..","","","1"
"2020","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789305","1.4.1.18.6","59.2","","","","1"
"2018","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789849","1.5.1.18.4","54.0","","","","1"
"2019","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789849","1.5.1.18.4","","..","","","1"
"2020","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789849","1.5.1.18.4","55.1","","","","1"
"2018","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789850","1.5.1.18.5","52.5","","","","1"
"2019","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789850","1.5.1.18.5","","..","","","1"
"2020","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789850","1.5.1.18.5","53.3","","","","1"
"2018","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789851","1.5.1.18.6","55.5","","","","1"
"2019","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789851","1.5.1.18.6","","..","","","1"
"2020","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789851","1.5.1.18.6","56.9","","","","1"
"2018","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110790395","1.6.1.18.4","37.3","","","","1"
"2019","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110790395","1.6.1.18.4","","..","","","1"
"2020","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110790395","1.6.1.18.4","40.3","","","","1"
"2018","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110790396","1.6.1.18.5","36.1","","","","1"
"2019","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110790396","1.6.1.18.5","","..","","","1"
"2020","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110790396","1.6.1.18.5","39.2","","","","1"
"2018","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110790397","1.6.1.18.6","38.6","","","","1"
"2019","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110790397","1.6.1.18.6","","..","","","1"
"2020","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110790397","1.6.1.18.6","41.4","","","","1"


